date,home_team,away_team,team,scorer,minute,own_goal,penalty,MATCH_ID
2018-06-14,Russia,KSA,Russia,Yury Gazinsky,12.0,False,False,20180614_Russia_KSA
2018-06-14,Russia,KSA,Russia,Denis Cheryshev,43.0,False,False,20180614_Russia_KSA
2018-06-14,Russia,KSA,Russia,Artem Dzyuba,71.0,False,False,20180614_Russia_KSA
2018-06-14,Russia,KSA,Russia,Denis Cheryshev,90.0,False,False,20180614_Russia_KSA
2018-06-14,Russia,KSA,Russia,Aleksandr Golovin,90.0,False,False,20180614_Russia_KSA
2018-06-15,EGY,URU,URU,José María Giménez,89.0,False,False,20180615_EGY_URU
2018-06-15,MAR,IRN,IRN,Aziz Bouhaddouz,90.0,True,False,20180615_MAR_IRN
2018-06-15,POR,ESP,POR,Cristiano Ronaldo,4.0,False,True,20180615_POR_ESP
2018-06-15,POR,ESP,ESP,Diego Costa,24.0,False,False,20180615_POR_ESP
2018-06-15,POR,ESP,POR,Cristiano Ronaldo,44.0,False,False,20180615_POR_ESP
2018-06-15,POR,ESP,ESP,Diego Costa,55.0,False,False,20180615_POR_ESP
2018-06-15,POR,ESP,ESP,Nacho,58.0,False,False,20180615_POR_ESP
2018-06-15,POR,ESP,POR,Cristiano Ronaldo,88.0,False,False,20180615_POR_ESP
2018-06-16,ARG,Iceland,ARG,Sergio Agüero,19.0,False,False,20180616_ARG_Iceland
2018-06-16,ARG,Iceland,Iceland,Alfreð Finnbogason,23.0,False,False,20180616_ARG_Iceland
2018-06-16,CRO,NGA,CRO,Oghenekaro Etebo,32.0,True,False,20180616_CRO_NGA
2018-06-16,CRO,NGA,CRO,Luka Modrić,71.0,False,True,20180616_CRO_NGA
2018-06-16,FRA,AUS,FRA,Antoine Griezmann,58.0,False,True,20180616_FRA_AUS
2018-06-16,FRA,AUS,AUS,Mile Jedinak,62.0,False,True,20180616_FRA_AUS
2018-06-16,FRA,AUS,FRA,Aziz Behich,81.0,True,False,20180616_FRA_AUS
2018-06-16,PER,DEN,DEN,Yussuf Poulsen,59.0,False,False,20180616_PER_DEN
2018-06-17,BRA,SUI,BRA,Philippe Coutinho,20.0,False,False,20180617_BRA_SUI
2018-06-17,BRA,SUI,SUI,Steven Zuber,50.0,False,False,20180617_BRA_SUI
2018-06-17,CRC,SRB,SRB,Aleksandar Kolarov,56.0,False,False,20180617_CRC_SRB
2018-06-17,GER,MEX,MEX,Hirving Lozano,35.0,False,False,20180617_GER_MEX
2018-06-18,BEL,PAN,BEL,Dries Mertens,47.0,False,False,20180618_BEL_PAN
2018-06-18,BEL,PAN,BEL,Romelu Lukaku,69.0,False,False,20180618_BEL_PAN
2018-06-18,BEL,PAN,BEL,Romelu Lukaku,75.0,False,False,20180618_BEL_PAN
2018-06-18,Sweden,KOR,Sweden,Andreas Granqvist,65.0,False,True,20180618_Sweden_KOR
2018-06-18,TUN,ENG,ENG,Harry Kane,11.0,False,False,20180618_TUN_ENG
2018-06-18,TUN,ENG,TUN,Ferjani Sassi,35.0,False,True,20180618_TUN_ENG
2018-06-18,TUN,ENG,ENG,Harry Kane,90.0,False,False,20180618_TUN_ENG
2018-06-19,COL,JPN,JPN,Shinji Kagawa,6.0,False,True,20180619_COL_JPN
2018-06-19,COL,JPN,COL,Juan Fernando Quintero,39.0,False,False,20180619_COL_JPN
2018-06-19,COL,JPN,JPN,Yuya Osako,73.0,False,False,20180619_COL_JPN
2018-06-19,Poland,SEN,SEN,Thiago Cionek,37.0,True,False,20180619_Poland_SEN
2018-06-19,Poland,SEN,SEN,M'Baye Niang,60.0,False,False,20180619_Poland_SEN
2018-06-19,Poland,SEN,Poland,Grzegorz Krychowiak,86.0,False,False,20180619_Poland_SEN
2018-06-19,Russia,EGY,Russia,Ahmed Fathy,47.0,True,False,20180619_Russia_EGY
2018-06-19,Russia,EGY,Russia,Denis Cheryshev,59.0,False,False,20180619_Russia_EGY
2018-06-19,Russia,EGY,Russia,Artem Dzyuba,62.0,False,False,20180619_Russia_EGY
2018-06-19,Russia,EGY,EGY,Mohamed Salah,73.0,False,True,20180619_Russia_EGY
2018-06-20,IRN,ESP,ESP,Diego Costa,54.0,False,False,20180620_IRN_ESP
2018-06-20,POR,MAR,POR,Cristiano Ronaldo,4.0,False,False,20180620_POR_MAR
2018-06-20,URU,KSA,URU,Luis Suárez,23.0,False,False,20180620_URU_KSA
2018-06-21,ARG,CRO,CRO,Ante Rebić,53.0,False,False,20180621_ARG_CRO
2018-06-21,ARG,CRO,CRO,Luka Modrić,80.0,False,False,20180621_ARG_CRO
2018-06-21,ARG,CRO,CRO,Ivan Rakitić,90.0,False,False,20180621_ARG_CRO
2018-06-21,DEN,AUS,DEN,Christian Eriksen,7.0,False,False,20180621_DEN_AUS
2018-06-21,DEN,AUS,AUS,Mile Jedinak,38.0,False,True,20180621_DEN_AUS
2018-06-21,FRA,PER,FRA,Kylian Mbappé,34.0,False,False,20180621_FRA_PER
2018-06-22,BRA,CRC,BRA,Philippe Coutinho,90.0,False,False,20180622_BRA_CRC
2018-06-22,BRA,CRC,BRA,Neymar,90.0,False,False,20180622_BRA_CRC
2018-06-22,NGA,Iceland,NGA,Ahmed Musa,49.0,False,False,20180622_NGA_Iceland
2018-06-22,NGA,Iceland,NGA,Ahmed Musa,75.0,False,False,20180622_NGA_Iceland
2018-06-22,SRB,SUI,SRB,Aleksandar Mitrović,5.0,False,False,20180622_SRB_SUI
2018-06-22,SRB,SUI,SUI,Granit Xhaka,52.0,False,False,20180622_SRB_SUI
2018-06-22,SRB,SUI,SUI,Xherdan Shaqiri,90.0,False,False,20180622_SRB_SUI
2018-06-23,BEL,TUN,BEL,Eden Hazard,6.0,False,True,20180623_BEL_TUN
2018-06-23,BEL,TUN,BEL,Romelu Lukaku,16.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,TUN,Dylan Bronn,18.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,BEL,Romelu Lukaku,45.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,BEL,Eden Hazard,51.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,BEL,Michy Batshuayi,90.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,TUN,Wahbi Khazri,90.0,False,False,20180623_BEL_TUN
2018-06-23,GER,Sweden,Sweden,Ola Toivonen,32.0,False,False,20180623_GER_Sweden
2018-06-23,GER,Sweden,GER,Marco Reus,48.0,False,False,20180623_GER_Sweden
2018-06-23,GER,Sweden,GER,Toni Kroos,90.0,False,False,20180623_GER_Sweden
2018-06-23,KOR,MEX,MEX,Carlos Vela,26.0,False,True,20180623_KOR_MEX
2018-06-23,KOR,MEX,MEX,Javier Hernández,66.0,False,False,20180623_KOR_MEX
2018-06-23,KOR,MEX,KOR,Son Heung-min,90.0,False,False,20180623_KOR_MEX
2018-06-24,ENG,PAN,ENG,John Stones,8.0,False,False,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,Harry Kane,22.0,False,True,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,Jesse Lingard,36.0,False,False,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,John Stones,40.0,False,False,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,Harry Kane,45.0,False,True,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,Harry Kane,62.0,False,False,20180624_ENG_PAN
2018-06-24,ENG,PAN,PAN,Felipe Baloy,78.0,False,False,20180624_ENG_PAN
2018-06-24,JPN,SEN,SEN,Sadio Mané,11.0,False,False,20180624_JPN_SEN
2018-06-24,JPN,SEN,JPN,Takashi Inui,34.0,False,False,20180624_JPN_SEN
2018-06-24,JPN,SEN,SEN,Moussa Wagué,71.0,False,False,20180624_JPN_SEN
2018-06-24,JPN,SEN,JPN,Keisuke Honda,78.0,False,False,20180624_JPN_SEN
2018-06-24,Poland,COL,COL,Yerry Mina,40.0,False,False,20180624_Poland_COL
